Year,State,Code,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
2017,CALIFORNIA,CA,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 TO 1,999 ACRES)","23,168",10.4
2017,CALIFORNIA,CA,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES),260,64.1
2017,CALIFORNIA,CA,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),"12,818",41.6
2017,CALIFORNIA,CA,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES),349,35.8
2017,CALIFORNIA,CA,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (2,000 TO 2,999 ACRES)", (D),(D)
2017,CALIFORNIA,CA,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 49.9 ACRES),840,15.1
2017,CALIFORNIA,CA,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),"17,112",5.3
2017,CALIFORNIA,CA,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (3,000 TO 4,999 ACRES)", (D),(D)
2017,CALIFORNIA,CA,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (5,000 OR MORE ACRES)", (D),(D)
2017,CALIFORNIA,CA,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (50.0 TO 99.9 ACRES),"3,288",6.5
2017,CALIFORNIA,CA,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),"20,532",4.1
2017,COLORADO,CO,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)","807,089",10.7
2017,COLORADO,CO,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 TO 1,999 ACRES)","364,443",10.4
2017,COLORADO,CO,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES),732,88.2
2017,COLORADO,CO,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),"80,560",19.6
2017,COLORADO,CO,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES),"1,168",(H)
2017,COLORADO,CO,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (2,000 TO 2,999 ACRES)","163,946",28.5
2017,COLORADO,CO,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 49.9 ACRES),"7,295",28.4
2017,COLORADO,CO,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),"148,404",13.5
2017,COLORADO,CO,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (3,000 TO 4,999 ACRES)","136,984",25.5
2017,COLORADO,CO,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (5,000 OR MORE ACRES)","141,716",10.7
2017,COLORADO,CO,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (50.0 TO 99.9 ACRES),"20,839",24.4
2017,COLORADO,CO,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),"240,196",37.2
2017,DELAWARE,DE,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)","59,461",0.7
2017,DELAWARE,DE,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 TO 1,999 ACRES)","49,507",0.7
2017,DELAWARE,DE,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES),366,22.8
2017,DELAWARE,DE,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),"26,027",15.6
2017,DELAWARE,DE,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES),"1,346",36.7
2017,DELAWARE,DE,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (2,000 TO 2,999 ACRES)", (D),(D)
2017,DELAWARE,DE,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 49.9 ACRES),"4,126",28.4
2017,DELAWARE,DE,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),"39,102",25.4
2017,DELAWARE,DE,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (3,000 TO 4,999 ACRES)", (D),(D)
2017,DELAWARE,DE,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (50.0 TO 99.9 ACRES),"8,406",14.3
2017,DELAWARE,DE,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),"49,129",5.9
2017,FLORIDA,FL,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)","7,787",1.3
2017,FLORIDA,FL,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES),"1,085",(H)
2017,FLORIDA,FL,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),"7,058",14.5
2017,FLORIDA,FL,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES),695,43.5
